match_id,season,date,match_type,venue,team1,team2,toss_winner,toss_decision,winner,win_by,win_margin,target_runs,team1_runs,team1_overs,team1_wickets,team1_run_rate,team2_runs,team2_overs,team2_wickets,team2_run_rate,t1_platinum,t1_diamond,t1_gold,t1_silver,t1_emerging,t1_supplementary,t2_platinum,t2_diamond,t2_gold,t2_silver,t2_emerging,t2_supplementary,season_winner
959175,2016,04/02/2016,League,Dubai International Cricket Stadium,Islamabad United, Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,wickets,8,129,128,20,7,6.4,132,16,2,8.25,0,1,1,3,1,5,1,1,2,1,0,4,Islamabad United
959177,2016,05/02/2016,League,Dubai International Cricket Stadium,Lahore Qalandars, Karachi Kings,Karachi Kings,field,Karachi Kings,wickets,7,126,125,20,8,6.25,131,15.5,3,8.27,0,1,0,3,1,6,3,1,1,1,0,3,Islamabad United
959179,2016,05/02/2016,League,Dubai International Cricket Stadium,Peshawar Zalmi, Islamabad United,Peshawar Zalmi,bat,Peshawar Zalmi,runs,24,146,121,20,9,6.05,145,20,7,7.25,0,0,1,3,1,6,2,2,2,0,0,5,Islamabad United
959181,2016,06/02/2016,League,Dubai International Cricket Stadium,Karachi Kings, Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,wickets,8,148,147,20,7,7.35,153,17.2,2,8.83,3,1,1,2,0,3,1,1,2,1,0,4,Islamabad United
959183,2016,06/02/2016,League,Dubai International Cricket Stadium,Lahore Qalandars, Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,wickets,9,118,117,20,6,5.85,118,16,1,7.38,1,0,0,3,1,6,2,1,2,0,0,3,Islamabad United
959185,2016,07/02/2016,League,Dubai International Cricket Stadium,Islamabad United, Karachi Kings,Karachi Kings,field,Islamabad United,runs,2,133,132,20,8,6.6,130,20,9,6.5,0,0,3,1,1,6,3,1,1,2,1,3,Islamabad United
959187,2016,07/02/2016,League,Dubai International Cricket Stadium,Peshawar Zalmi, Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,wickets,3,136,135,20,7,6.75,139,19.5,7,7.01,2,2,2,0,0,5,1,1,2,1,0,6,Islamabad United
959189,2016,08/02/2016,League,Dubai International Cricket Stadium,Lahore Qalandars, Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,runs,63,195,194,20,3,9.7,131,16.2,10,8.02,1,0,0,4,0,4,1,1,2,1,0,6,Islamabad United
959191,2016,10/02/2016,League,Sharjah Cricket Stadium,Lahore Qalandars, Islamabad United,Islamabad United,field,Islamabad United,wickets,8,167,166,20,6,8.3,169,15.5,2,10.67,1,0,0,3,1,6,0,0,2,2,1,4,Islamabad United
959195,2016,11/02/2016,League,Sharjah Cricket Stadium,Islamabad United, Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,wickets,7,118,117,19.1,10,6.1,118,16.1,3,7.3,0,1,2,2,1,5,1,1,1,1,0,6,Islamabad United
